% Messparameter LVDT-Messung
%
% Version PC-Software: 1.0.4.20488
% Firmware MCU: GP22_V1.0.0
% GP22-Konfigurationsregister:
% Register 00: F3C5E801
% Register 01: 21420000
% Register 02: 20000000
% Register 03: 18000000
% Register 04: 10000000
% Register 05: 40000000
% Register 06: 00006000
% DDS-Frequenz [Hz]: 1000000
% TDC-Clock [Hz]: 4000000
% Offset: 0
% Messdatum: 09.11.2017 16:14:11
%
% Zeit LVDT Status
72.7700 51.616516 0x0000
72.9710 51.550598 0x0000
73.1720 50.517883 0x0000
73.3740 49.551086 0x0000
73.5740 48.389282 0x0000
73.7750 49.946594 0x0000
74.0420 51.047974 0x0000
74.2320 50.416260 0x0000
74.3790 50.748596 0x0000
74.5800 49.640350 0x0000
74.7810 50.798035 0x0000
74.9820 50.519257 0x0000
75.1850 49.419250 0x0000
75.3830 50.026245 0x0000
75.5850 50.105896 0x0000
75.8780 50.317383 0x0000
75.9840 50.289917 0x0000
76.1880 51.608276 0x0000
76.3890 49.367065 0x0000
76.5890 51.056213 0x0000
76.7880 48.927612 0x0000
76.9880 50.310516 0x0000
77.1930 50.784302 0x0000
77.3940 50.099030 0x0000
77.5950 51.707153 0x0000
77.8730 50.255585 0x0000
78.0490 51.156464 0x0000
78.1990 50.093536 0x0000
78.3990 50.020752 0x0000
78.6020 50.244598 0x0000
78.8010 51.115265 0x0000
79.0020 49.511261 0x0000
79.2030 47.488403 0x0000
79.4040 49.590912 0x0000
79.6060 50.027618 0x0000
79.9000 49.779053 0x0000
80.0040 50.788422 0x0000
80.2080 42.180634 0x0000
80.4110 50.412140 0x0000
80.6100 50.155334 0x0000
80.8110 50.405273 0x0000
81.0130 50.861206 0x0000
81.2130 50.026245 0x0000
81.4860 51.516266 0x0000
81.6110 50.358582 0x0000
81.8890 50.774689 0x0000
82.0720 51.477814 0x0000
82.2150 50.119629 0x0000
82.4190 50.473938 0x0000
82.6200 49.958954 0x0000
82.8210 50.142975 0x0000
83.0220 50.743103 0x0000
83.2240 50.056458 0x0000
83.4240 50.125122 0x0000
83.6250 50.285797 0x0000
83.9150 49.308014 0x0000
84.0240 50.604401 0x0000
84.2290 50.121002 0x0000
84.4290 51.035614 0x0000
84.6300 51.659088 0x0000
84.8330 49.985046 0x0000
85.0320 50.461578 0x0000
85.2330 49.816132 0x0000
85.4340 51.002655 0x0000
85.6320 50.386047 0x0000
85.8380 50.453339 0x0000
86.0940 50.335236 0x0000
86.2340 45.071411 0x0000
86.4400 48.630981 0x0000
86.6420 50.148468 0x0000
86.8420 50.850220 0x0000
87.0430 48.467560 0x0000
87.2440 51.148224 0x0000
87.4440 49.161072 0x0000
87.6420 49.794159 0x0000
87.8420 50.241852 0x0000
88.0990 50.038605 0x0000
88.2490 50.429993 0x0000
88.4510 50.554962 0x0000
88.6470 50.192413 0x0000
88.8470 50.434113 0x0000
89.0480 50.313263 0x0000
89.2490 48.956451 0x0000
89.4540 50.663452 0x0000
89.6510 50.695038 0x0000
89.9500 51.686554 0x0000
90.1080 49.721375 0x0000
90.2610 50.769196 0x0000
90.4600 49.897156 0x0000
90.6600 50.138855 0x0000
90.8610 48.941345 0x0000
91.0640 50.285797 0x0000
91.2630 50.604401 0x0000
91.4640 50.568695 0x0000
91.6650 50.646973 0x0000
91.9460 50.384674 0x0000
92.0640 50.038605 0x0000
92.2680 50.756836 0x0000
92.4690 50.675812 0x0000
92.6700 50.277557 0x0000
92.8730 49.899902 0x0000
93.0730 50.309143 0x0000
93.2730 49.895782 0x0000
93.4740 50.200653 0x0000
93.6710 50.027618 0x0000
93.8780 50.125122 0x0000
94.0770 50.667572 0x0000
94.2780 50.685425 0x0000
94.4790 50.078430 0x0000
94.6810 50.218506 0x0000
94.8810 49.897156 0x0000
95.0780 50.712891 0x0000
95.2830 49.406891 0x0000
95.4820 50.191040 0x0000
95.6810 50.335236 0x0000
95.9630 50.586548 0x0000
96.1450 50.438232 0x0000
96.2840 50.107269 0x0000
96.4920 49.689789 0x0000
96.6910 50.667572 0x0000
96.8920 50.589294 0x0000
97.0930 50.133362 0x0000
97.2960 50.833740 0x0000
97.4940 49.807892 0x0000
97.6960 49.895782 0x0000
97.9650 49.941101 0x0000
98.1500 49.860077 0x0000
98.3050 50.966949 0x0000
98.5010 50.223999 0x0000
98.7010 49.971313 0x0000
98.8980 49.850464 0x0000
99.1040 50.228119 0x0000
99.3040 50.917511 0x0000
99.5050 49.774933 0x0000
99.7060 49.905396 0x0000
99.9820 50.280304 0x0000
100.1040 50.151215 0x0000
100.3090 50.305023 0x0000
100.5090 49.379425 0x0000
100.7100 50.609894 0x0000
100.9130 50.524750 0x0000
101.1080 52.156219 0x0000
101.3090 51.013641 0x0000
101.5140 50.255585 0x0000
101.7150 50.277557 0x0000
101.9180 50.326996 0x0000
102.1170 50.071564 0x0000
102.3180 50.397034 0x0000
102.5190 50.008392 0x0000
102.7230 49.801025 0x0000
102.9220 50.204773 0x0000
103.1230 50.027618 0x0000
103.3230 50.133362 0x0000
103.5240 50.164948 0x0000
103.7260 49.676056 0x0000
104.0040 50.932617 0x0000
104.1780 49.840851 0x0000
104.3280 49.968567 0x0000
104.5290 50.751343 0x0000
104.7330 50.038605 0x0000
104.9310 49.483795 0x0000
105.1320 49.770813 0x0000
105.3330 50.178680 0x0000
105.5360 50.986176 0x0000
105.7360 50.335236 0x0000
106.0200 49.218750 0x0000
106.1900 50.966949 0x0000
106.3410 50.115509 0x0000
106.5390 50.408020 0x0000
106.7400 49.748840 0x0000
106.9410 50.048218 0x0000
107.1420 49.582672 0x0000
107.3450 52.005157 0x0000
107.5440 48.559570 0x0000
107.7450 45.324097 0x0000
108.0250 50.402527 0x0000
108.2050 49.923248 0x0000
108.3440 50.035858 0x0000
108.5490 50.505524 0x0000
108.7510 50.495911 0x0000
108.9520 50.622253 0x0000
109.1540 50.083923 0x0000
109.3540 50.487671 0x0000
109.5550 50.559082 0x0000
109.7550 51.829376 0x0000
110.0460 50.354462 0x0000
110.2090 50.493164 0x0000
110.3580 50.792542 0x0000
110.5590 50.416260 0x0000
110.7600 49.779053 0x0000
110.9630 49.268188 0x0000
111.1620 48.102264 0x0000
111.3630 49.645844 0x0000
111.5640 49.958954 0x0000
111.7670 49.814758 0x0000
112.0410 50.344849 0x0000
112.2200 48.232727 0x0000
112.3680 50.251465 0x0000
112.5710 50.024872 0x0000
112.7700 50.331116 0x0000
112.9710 51.201782 0x0000
113.1720 50.070190 0x0000
113.3730 50.527496 0x0000
113.6460 50.994415 0x0000
113.7710 50.576935 0x0000
114.0860 50.383301 0x0000
114.2290 50.348969 0x0000
114.3810 49.964447 0x0000
114.5790 50.151215 0x0000
114.7810 50.519257 0x0000
114.9820 49.807892 0x0000
115.1840 50.281677 0x0000
115.3840 49.662323 0x0000
115.5850 50.707397 0x0000
115.7850 50.820007 0x0000
116.1060 50.379181 0x0000
116.1840 50.357208 0x0000
116.3880 49.721375 0x0000
116.5890 50.954590 0x0000
116.7910 51.024628 0x0000
116.9940 50.443726 0x0000
117.1880 49.236603 0x0000
117.3950 50.208893 0x0000
117.5970 49.908142 0x0000
117.7960 49.802399 0x0000
117.9980 50.501404 0x0000
118.1980 50.618134 0x0000
118.3990 51.409149 0x0000
118.6000 50.572815 0x0000
118.8020 51.358337 0x0000
119.0010 49.770813 0x0000
119.2020 48.533478 0x0000
119.4030 50.099030 0x0000
119.6040 49.671936 0x0000
119.8060 50.890045 0x0000
120.0870 49.699402 0x0000
120.2640 49.637604 0x0000
120.4040 50.067444 0x0000
