% Messparameter LVDT-Messung
%
% Version PC-Software: 1.0.4.27379
% Firmware MCU: GP22_V1.0.0
% GP22-Konfigurationsregister:
% Register 00: 03C5EA01
% Register 01: 21420000
% Register 02: 20000000
% Register 03: 18000000
% Register 04: 10000000
% Register 05: 40000000
% Register 06: 00006000
% DDS-Frequenz [Hz]: 400000
% TDC-Clock [Hz]: 4000000
% Offset: -1,149
% Faktor [mm/µs]: 2740
% Anzahl 'M' der Messwerte für Mittelwert: 10
% Grenze 'G' für Abweichung vom vorherigen Wert, ab der korrigiert wird [µs]*: 1,1
% * Tatsächlich verwendeter Wert ist: G/M. **AK ist die Anzahl korrigierter Werte.
% Messdatum: 10.11.2017 15:17:28
%
% Zeit LVDT Weg AK** Status
44.4300 0.028517 78,136408 17 0x0000
44.6290 0.029577 81,042139 17 0x0000
44.8310 0.034094 93,417628 17 0x0000
45.0330 0.026297 72,053187 17 0x0000
45.3200 0.034956 95,779841 17 0x0000
45.4350 0.035414 97,034113 17 0x0000
45.6370 0.035414 97,034113 18 0x0000
45.8360 0.028830 78,993494 18 0x0000
46.0380 0.029120 79,787867 18 0x0000
46.2390 0.031336 85,860636 18 0x0000
46.4400 0.029879 81,867869 18 0x0000
46.6410 0.027006 73,997309 18 0x0000
46.8410 0.030039 82,306864 18 0x0000
47.0430 0.031954 87,553904 18 0x0000
47.3440 0.033274 91,170389 18 0x0000
47.4440 0.036551 100,148890 18 0x0000
47.6460 0.032488 89,017222 18 0x0000
47.8480 0.035917 98,413813 18 0x0000
48.0470 0.032892 90,125162 18 0x0000
48.2490 0.034506 94,546473 18 0x0000
48.4500 0.030745 84,240534 18 0x0000
48.6500 0.030745 84,240534 19 0x0000
48.8520 0.035792 98,068888 19 0x0000
49.1410 0.036303 99,469492 19 0x0000
49.3420 0.036017 98,685572 19 0x0000
49.4540 0.034975 95,832102 19 0x0000
49.6560 0.036135 99,009592 19 0x0000
49.8560 0.035265 96,626475 19 0x0000
50.0570 0.035265 96,626475 20 0x0000
50.2580 0.031771 87,052195 20 0x0000
50.4590 0.032660 89,487574 20 0x0000
50.6620 0.035608 97,567179 20 0x0000
50.9540 0.036211 99,218638 20 0x0000
51.0620 0.042360 116,067698 20 0x0000
51.3600 0.038836 106,409800 20 0x0000
51.4660 0.036741 100,671503 20 0x0000
51.6660 0.037123 101,716730 20 0x0000
51.8690 0.039961 109,493220 20 0x0000
52.0690 0.039992 109,576838 20 0x0000
52.2690 0.038904 106,597941 20 0x0000
52.4690 0.038550 105,625880 20 0x0000
52.6700 0.039652 108,646586 20 0x0000
52.8710 0.035483 97,222254 20 0x0000
53.0740 0.042551 116,590311 20 0x0000
53.3030 0.042311 115,931818 20 0x0000
53.4740 0.041380 113,381464 20 0x0000
53.6750 0.041380 113,381464 21 0x0000
53.8760 0.041002 112,346689 21 0x0000
54.0790 0.042772 117,196543 21 0x0000
54.2810 0.042231 115,712321 21 0x0000
54.4810 0.038698 106,033518 21 0x0000
54.6800 0.035650 97,682154 21 0x0000
54.8850 0.035650 97,682154 22 0x0000
55.1750 0.042956 117,698252 22 0x0000
55.3770 0.039389 107,925379 22 0x0000
55.4850 0.041945 114,928400 22 0x0000
55.6850 0.041067 112,524378 22 0x0000
55.8870 0.042963 117,719156 22 0x0000
56.0870 0.044485 121,889612 22 0x0000
56.2880 0.041414 113,475535 22 0x0000
56.4890 0.044832 122,840769 22 0x0000
56.6910 0.042689 116,966593 22 0x0000
56.8920 0.044188 121,074335 22 0x0000
57.0930 0.039812 109,085581 22 0x0000
57.3830 0.042170 115,545084 22 0x0000
57.4950 0.043837 120,112726 22 0x0000
57.6980 0.045248 123,980067 22 0x0000
57.8980 0.043001 117,823679 22 0x0000
58.1000 0.047201 129,331629 22 0x0000
58.2990 0.046332 126,948511 22 0x0000
58.5010 0.046614 127,721979 22 0x0000
58.7000 0.043738 119,840967 22 0x0000
58.9020 0.045901 125,767405 22 0x0000
59.1020 0.045721 125,276148 22 0x0000
59.4010 0.042135 115,451014 22 0x0000
59.5060 0.046694 127,941477 22 0x0000
59.7060 0.043284 118,597147 22 0x0000
59.9070 0.045740 125,328409 22 0x0000
60.1070 0.040705 111,531412 22 0x0000
60.3090 0.043432 119,004786 22 0x0000
60.5110 0.045237 123,948710 22 0x0000
60.7110 0.043287 118,607599 22 0x0000
60.9150 0.043287 118,607599 23 0x0000
61.1190 0.039026 106,932413 23 0x0000
61.3150 0.038645 105,887186 23 0x0000
61.5150 0.036646 100,410197 23 0x0000
61.7150 0.036123 98,978235 23 0x0000
61.9160 0.035345 96,845972 23 0x0000
62.1200 0.035071 96,093409 23 0x0000
62.3200 0.030714 84,156916 23 0x0000
62.5190 0.031740 86,968577 23 0x0000
62.7200 0.031576 86,519129 23 0x0000
62.9210 0.027830 76,254999 23 0x0000
63.2070 0.028628 78,439524 23 0x0000
63.3280 0.024603 67,412379 23 0x0000
63.6160 0.027155 74,404948 23 0x0000
63.7290 0.023173 63,492777 23 0x0000
63.9270 0.026457 72,492182 23 0x0000
64.1270 0.024420 66,910670 23 0x0000
64.3310 0.024626 67,475092 23 0x0000
64.5290 0.025500 69,868662 23 0x0000
64.7320 0.024256 66,461222 23 0x0000
64.9310 0.023634 64,757502 23 0x0000
65.1330 0.023569 64,579813 23 0x0000
65.3320 0.023691 64,914286 23 0x0000
65.5350 0.023691 64,914286 24 0x0000
65.7350 0.022783 62,426646 24 0x0000
65.9380 0.022768 62,384836 24 0x0000
66.1370 0.019312 52,915079 24 0x0000
66.3430 0.021689 59,426844 24 0x0000
66.5410 0.024210 66,335795 24 0x0000
66.7420 0.021547 59,040110 24 0x0000
66.9430 0.022230 60,911066 24 0x0000
67.1460 0.023791 65,186045 24 0x0000
67.3460 0.022532 61,736796 24 0x0000
67.5450 0.021483 58,862421 24 0x0000
67.7470 0.023817 65,259211 24 0x0000
67.9470 0.021544 59,029658 24 0x0000
68.1470 0.022192 60,806544 24 0x0000
68.3520 0.022482 61,600916 24 0x0000
68.5510 0.020918 57,315485 24 0x0000
68.7510 0.022535 61,747248 24 0x0000
68.9510 0.024119 66,084940 24 0x0000
69.1520 0.025770 70,610773 24 0x0000
69.4440 0.024916 68,269465 24 0x0000
69.5550 0.021948 60,137598 24 0x0000
69.7550 0.020544 56,291163 24 0x0000
69.9560 0.021597 59,175989 24 0x0000
70.1590 0.024225 66,377604 24 0x0000
70.3580 0.022234 60,921519 24 0x0000
70.5600 0.019758 54,137995 24 0x0000
70.7600 0.022238 60,931971 24 0x0000
70.9610 0.023844 65,332377 24 0x0000
71.2490 0.022425 61,444132 24 0x0000
71.4510 0.020727 56,792872 24 0x0000
71.5650 0.023913 65,520518 24 0x0000
71.7650 0.021448 58,768351 24 0x0000
71.9670 0.022230 60,911066 24 0x0000
72.1680 0.021097 57,806742 24 0x0000
72.3680 0.021097 57,806742 25 0x0000
72.5690 0.021097 57,806742 26 0x0000
72.7710 0.025759 70,579417 26 0x0000
72.9730 0.018198 49,863016 26 0x0000
73.1730 0.020403 55,904429 26 0x0000
73.3740 0.022215 60,869257 26 0x0000
73.5740 0.020514 56,207545 26 0x0000
73.7770 0.025019 68,551676 26 0x0000
73.9760 0.023401 64,119913 26 0x0000
74.1770 0.023493 64,370768 26 0x0000
74.3800 0.023493 64,370768 27 0x0000
74.5800 0.023638 64,767954 27 0x0000
74.7810 0.020373 55,820811 27 0x0000
74.9810 0.022070 60,472071 27 0x0000
75.2680 0.022646 62,050364 27 0x0000
75.4760 0.022993 63,001520 27 0x0000
75.5860 0.022825 62,541620 27 0x0000
75.7850 0.023123 63,356898 27 0x0000
75.9860 0.021258 58,245737 27 0x0000
76.1920 0.024641 67,516901 27 0x0000
76.3890 0.022280 61,046946 27 0x0000
76.5900 0.022070 60,472071 27 0x0000
76.7900 0.020395 55,883524 27 0x0000
76.9920 0.023462 64,287150 27 0x0000
77.2840 0.023188 63,534586 27 0x0000
77.4810 0.023188 63,534586 28 0x0000
77.5940 0.023188 63,534586 29 0x0000
77.7940 0.018980 52,005732 29 0x0000
77.9970 0.022581 61,872675 29 0x0000
78.1970 0.023421 64,172175 29 0x0000
78.3980 0.024569 67,318308 29 0x0000
78.5990 0.019381 53,103220 29 0x0000
78.8020 0.024233 66,398508 29 0x0000
79.0010 0.020399 55,893976 29 0x0000
79.2040 0.024832 68,039515 29 0x0000
79.4060 0.024832 68,039515 30 0x0000
79.6050 0.023321 63,900416 30 0x0000
79.8060 0.021399 58,632471 30 0x0000
80.0070 0.020434 55,988047 30 0x0000
80.2080 0.022745 62,322123 30 0x0000
80.4080 0.023760 65,102427 30 0x0000
80.6100 0.018919 51,838495 30 0x0000
80.8110 0.021040 57,649958 30 0x0000
81.0130 0.023897 65,478708 30 0x0000
81.2120 0.024855 68,102228 30 0x0000
81.5000 0.022082 60,503428 30 0x0000
81.6190 0.020815 57,033274 30 0x0000
